법정동코드,시도명,시군구명,읍면동명,리명,순위,생성일자,삭제일자,과거법정동코드
1100000000,서울특별시,,,,11,1988-04-23,,
1111000000,서울특별시,종로구,,,1,1988-04-23,,
1111010100,서울특별시,종로구,청운동,,1,1988-04-23,,
1111010200,서울특별시,종로구,신교동,,2,1988-04-23,,
1111010300,서울특별시,종로구,궁정동,,3,1988-04-23,,
1111010400,서울특별시,종로구,효자동,,4,1988-04-23,,
1111010500,서울특별시,종로구,창성동,,5,1988-04-23,,
1111010600,서울특별시,종로구,통의동,,6,1988-04-23,,
1111010700,서울특별시,종로구,적선동,,7,1988-04-23,,
1111010800,서울특별시,종로구,통인동,,8,1988-04-23,,
1111010900,서울특별시,종로구,누상동,,9,1988-04-23,,
1111011000,서울특별시,종로구,누하동,,10,1988-04-23,,
1111011100,서울특별시,종로구,옥인동,,11,1988-04-23,,
1111011200,서울특별시,종로구,체부동,,12,1988-04-23,,
1111011300,서울특별시,종로구,필운동,,13,1988-04-23,,
1111011400,서울특별시,종로구,내자동,,14,1988-04-23,,
1111011500,서울특별시,종로구,사직동,,15,1988-04-23,,
1111011600,서울특별시,종로구,도렴동,,16,1998-12-01,,
1111011700,서울특별시,종로구,당주동,,17,1998-12-01,,
1111011800,서울특별시,종로구,내수동,,18,1998-12-01,,
1111011900,서울특별시,종로구,세종로,,19,1998-12-01,,
1111012000,서울특별시,종로구,신문로1가,,20,1998-12-01,,
1111012100,서울특별시,종로구,신문로2가,,21,1998-12-01,,
1111012200,서울특별시,종로구,청진동,,22,1998-12-01,,
1111012300,서울특별시,종로구,서린동,,23,1998-12-01,,
1111012400,서울특별시,종로구,수송동,,24,1998-12-01,,
1111012500,서울특별시,종로구,중학동,,25,1998-12-01,,
1111012600,서울특별시,종로구,종로1가,,26,1998-12-01,,
1111012700,서울특별시,종로구,공평동,,27,1998-12-01,,
1111012800,서울특별시,종로구,관훈동,,28,1998-12-01,,
1111012900,서울특별시,종로구,견지동,,29,1998-12-01,,
1111013000,서울특별시,종로구,와룡동,,30,1998-12-01,,
1111013100,서울특별시,종로구,권농동,,31,1998-12-01,,
1111013200,서울특별시,종로구,운니동,,32,1998-12-01,,
1111013300,서울특별시,종로구,익선동,,33,1998-12-01,,
1111013400,서울특별시,종로구,경운동,,34,1998-12-01,,
1111013500,서울특별시,종로구,관철동,,35,1998-12-01,,
1111013600,서울특별시,종로구,인사동,,36,1998-12-01,,
1111013700,서울특별시,종로구,낙원동,,37,1998-12-01,,
1111013800,서울특별시,종로구,종로2가,,38,1998-12-01,,
1111013900,서울특별시,종로구,팔판동,,39,1988-04-23,,
1111014000,서울특별시,종로구,삼청동,,40,1988-04-23,,
1111014100,서울특별시,종로구,안국동,,41,1988-04-23,,
1111014200,서울특별시,종로구,소격동,,42,1988-04-23,,
1111014300,서울특별시,종로구,화동,,43,1988-04-23,,
1111014400,서울특별시,종로구,사간동,,44,1988-04-23,,
1111014500,서울특별시,종로구,송현동,,45,1988-04-23,,
1111014600,서울특별시,종로구,가회동,,46,1988-04-23,,
1111014700,서울특별시,종로구,재동,,47,1988-04-23,,
1111014800,서울특별시,종로구,계동,,48,1988-04-23,,
1111014900,서울특별시,종로구,원서동,,49,1988-04-23,,
1111015000,서울특별시,종로구,훈정동,,50,1998-12-01,,
1111015100,서울특별시,종로구,묘동,,51,1998-12-01,,
1111015200,서울특별시,종로구,봉익동,,52,1998-12-01,,
1111015300,서울특별시,종로구,돈의동,,53,1998-12-01,,
1111015400,서울특별시,종로구,장사동,,54,1998-12-01,,
1111015500,서울특별시,종로구,관수동,,55,1998-12-01,,
1111015600,서울특별시,종로구,종로3가,,56,1998-12-01,,
1111015700,서울특별시,종로구,인의동,,57,1998-12-01,,
1111015800,서울특별시,종로구,예지동,,58,1998-12-01,,
1111015900,서울특별시,종로구,원남동,,59,1998-12-01,,
1111016000,서울특별시,종로구,연지동,,60,1988-04-23,,
1111016100,서울특별시,종로구,종로4가,,61,1998-12-01,,
1111016200,서울특별시,종로구,효제동,,62,1988-04-23,,
1111016300,서울특별시,종로구,종로5가,,63,1988-04-23,,
1111016400,서울특별시,종로구,종로6가,,64,1988-04-23,,
1111016500,서울특별시,종로구,이화동,,65,1988-04-23,,
1111016600,서울특별시,종로구,연건동,,66,1988-04-23,,
1111016700,서울특별시,종로구,충신동,,67,1988-04-23,,
1111016800,서울특별시,종로구,동숭동,,68,1988-04-23,,
1111016900,서울특별시,종로구,혜화동,,69,1988-04-23,,
1111017000,서울특별시,종로구,명륜1가,,70,1988-04-23,,
1111017100,서울특별시,종로구,명륜2가,,71,1988-04-23,,
1111017200,서울특별시,종로구,명륜4가,,72,1988-04-23,,
1111017300,서울특별시,종로구,명륜3가,,73,1988-04-23,,
1111017400,서울특별시,종로구,창신동,,74,1988-04-23,,
1111017500,서울특별시,종로구,숭인동,,75,1988-04-23,,
1111017600,서울특별시,종로구,교남동,,76,1988-04-23,,
1111017700,서울특별시,종로구,평동,,77,1988-04-23,,
1111017800,서울특별시,종로구,송월동,,78,1988-04-23,,
1111017900,서울특별시,종로구,홍파동,,79,1988-04-23,,
1111018000,서울특별시,종로구,교북동,,80,1988-04-23,,
1111018100,서울특별시,종로구,행촌동,,81,1988-04-23,,
1111018200,서울특별시,종로구,구기동,,82,1988-04-23,,
1111018300,서울특별시,종로구,평창동,,83,1988-04-23,,
1111018400,서울특별시,종로구,부암동,,84,1988-04-23,,
1111018500,서울특별시,종로구,홍지동,,85,1988-04-23,,
1111018600,서울특별시,종로구,신영동,,86,1988-04-23,,
1111018700,서울특별시,종로구,무악동,,87,1988-04-23,,
1111090100,서울특별시,종로구,창신1동,,0,1988-04-23,1988-04-23,
1111090200,서울특별시,종로구,창신2동,,0,1988-04-23,1988-04-23,
1111090300,서울특별시,종로구,창신3동,,0,1988-04-23,1988-04-23,
1111090400,서울특별시,종로구,숭인1동,,0,1988-04-23,1988-04-23,
1111090500,서울특별시,종로구,숭인2동,,0,1988-04-23,1988-04-23,
1114000000,서울특별시,중구,,,2,1988-04-23,,
1114000100,서울특별시,중구,동자동,,0,1988-04-23,1988-04-23,
1114000200,서울특별시,중구,도동1가,,0,1988-04-23,1988-04-23,
1114000300,서울특별시,중구,도동2가,,0,1988-04-23,1988-04-23,
1114000400,서울특별시,중구,양동,,0,1988-04-23,1988-04-23,
1114010100,서울특별시,중구,무교동,,1,1998-09-14,,
1114010200,서울특별시,중구,다동,,2,1998-09-14,,
1114010300,서울특별시,중구,태평로1가,,3,1998-09-14,,
1114010400,서울특별시,중구,을지로1가,,4,1998-09-14,,
1114010500,서울특별시,중구,을지로2가,,5,1998-09-14,,
1114010600,서울특별시,중구,남대문로1가,,6,1998-09-14,,
1114010700,서울특별시,중구,삼각동,,7,1998-09-14,,
1114010800,서울특별시,중구,수하동,,8,1998-09-14,,
1114010900,서울특별시,중구,장교동,,9,1998-09-14,,
1114011000,서울특별시,중구,수표동,,10,1998-09-14,,
1114011100,서울특별시,중구,소공동,,11,1988-04-23,,
1114011200,서울특별시,중구,남창동,,12,1988-04-23,,
